# Top 50 functions by inclusive instruction-read share (Ir).
# Captured on AMD Ryzen 7 5800X / WSL Ubuntu 24.04 / GCC 13.3
# Workload: scripts/perf/workload-baseline.txt
#
10,688,303 (100.0%)  PROGRAM TOTALS
   56,764 ( 0.53%)  ./string/../sysdeps/x86_64/multiarch/memchr-avx2.S:__memchr_avx2 [/usr/lib/x86_64-linux-gnu/libc.so.6]
   53,808 ( 0.50%)  ???:operator new(unsigned long) [/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33]
   52,616 ( 0.49%)  ???:std::basic_istream<char, std::char_traits<char> >& std::getline<char, std::char_traits<char>, std::allocator<char> >(std::basic_istream<char, std::char_traits<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, char) [/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33]
   52,597 ( 0.49%)  ???:decltype(auto) std::basic_format_arg<std::basic_format_context<std::__format::_Sink_iter<char>, char> >::_M_visit<std::__format::_Formatting_scanner<std::__format::_Sink_iter<char>, char>::_M_format_arg(unsigned long)::{lambda(auto:1&)#1}>(std::__format::_Formatting_scanner<std::__format::_Sink_iter<char>, char>::_M_format_arg(unsigned long)::{lambda(auto:1&)#1}&&, std::__format::_Arg_t) [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
   50,415 ( 0.47%)  ???:nlohmann::json_abi_v3_11_3::basic_json<nlohmann::json_abi_v3_11_3::ordered_map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>::json_value::destroy(nlohmann::json_abi_v3_11_3::detail::value_t) [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
   49,874 ( 0.47%)  ./string/../sysdeps/x86_64/multiarch/memcmp-avx2-movbe.S:__memcmp_avx2_movbe [/usr/lib/x86_64-linux-gnu/libc.so.6]
   48,942 ( 0.46%)  ???:g_value_register_transform_func [/usr/lib/x86_64-linux-gnu/libgobject-2.0.so.0.8000.0]
   42,165 ( 0.39%)  ./string/../sysdeps/x86_64/multiarch/strlen-avx2.S:__strlen_avx2 [/usr/lib/x86_64-linux-gnu/libc.so.6]
   41,689 ( 0.39%)  ./elf/./elf/dl-version.c:_dl_check_map_versions [/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2]
   41,336 ( 0.39%)  ???:void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag) [clone .isra.0] [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
